sentence_type,item_id,condition,critical_region_text,aggregated_surprisal_bits,original_full_sentence
subject_pg_full,5,plusF_minusG1_minusG2,Leo,29.82631334,It is clear who the picture of the artist might delight Leo soon.
subject_pg_full,5,plusF_minusG1_plusG2,soon,21.19753699,It is clear who the picture of the artist might delight soon.
subject_pg_full,5,plusF_plusG1_minusG2,Leo,23.80184824,It is clear who the picture of might delight Leo soon.
subject_pg_full,5,plusF_plusG1_plusG2,soon,21.39539252,It is clear who the picture of might delight soon.
subject_pg_full,6,minusF_minusG1_minusG2,Sara,27.12763108,I know that the critique of the writer is likely to anger Sara eventually.
subject_pg_full,6,minusF_minusG1_plusG2,eventually,23.41679438,I know that the critique of the writer is likely to anger eventually.
subject_pg_full,6,minusF_plusG1_minusG2,Sara,27.45243656,I know that the critique of is likely to anger Sara eventually.
subject_pg_full,6,minusF_plusG1_plusG2,eventually,22.35609036,I know that the critique of is likely to anger eventually.
subject_pg_full,6,plusF_minusG1_minusG2,Sara,28.33001785,I know who the critique of the writer is likely to anger Sara eventually.
subject_pg_full,6,plusF_minusG1_plusG2,eventually,20.40678718,I know who the critique of the writer is likely to anger eventually.
subject_pg_full,6,plusF_plusG1_minusG2,Sara,26.22638093,I know who the critique of is likely to anger Sara eventually.
subject_pg_full,6,plusF_plusG1_plusG2,eventually,19.38386879,I know who the critique of is likely to anger eventually.
subject_pg_full,7,minusF_minusG1_minusG2,Tom,13.43659797,She heard that the rumor about the director is going to please Tom soon.
subject_pg_full,7,minusF_minusG1_plusG2,soon,20.89836821,She heard that the rumor about the director is going to please soon.
subject_pg_full,7,minusF_plusG1_minusG2,Tom,15.00244290,She heard that the rumor about is going to please Tom soon.
subject_pg_full,7,minusF_plusG1_plusG2,soon,20.27916494,She heard that the rumor about is going to please soon.
subject_pg_full,7,plusF_minusG1_minusG2,Tom,20.96023818,She heard who the rumor about the director is going to please Tom soon.
subject_pg_full,7,plusF_minusG1_plusG2,soon,15.95923248,She heard who the rumor about the director is going to please soon.
subject_pg_full,7,plusF_plusG1_minusG2,Tom,16.63594302,She heard who the rumor about is going to please Tom soon.
subject_pg_full,7,plusF_plusG1_plusG2,soon,17.42630186,She heard who the rumor about is going to please soon.
subject_pg_full,8,minusF_minusG1_minusG2,Paul,17.75626641,They believe that the discussion about the critic is expected to concern Paul eventually.
subject_pg_full,8,minusF_minusG1_plusG2,eventually,26.34356528,They believe that the discussion about the critic is expected to concern eventually.
subject_pg_full,8,minusF_plusG1_minusG2,Paul,18.28237113,They believe that the discussion about is expected to concern Paul eventually.
subject_pg_full,8,minusF_plusG1_plusG2,eventually,25.16050197,They believe that the discussion about is expected to concern eventually.
subject_pg_full,8,plusF_minusG1_minusG2,Paul,20.82492493,They believe who the discussion about the critic is expected to concern Paul eventually.
subject_pg_full,8,plusF_minusG1_plusG2,eventually,21.86292526,They believe who the discussion about the critic is expected to concern eventually.
subject_pg_full,8,plusF_plusG1_minusG2,Paul,19.32778691,They believe who the discussion about is expected to concern Paul eventually.
subject_pg_full,8,plusF_plusG1_plusG2,eventually,21.84552780,They believe who the discussion about is expected to concern eventually.
subject_pg_full,9,minusF_minusG1_minusG2,Nina,29.60230176,The report suggested that the painting of the professor will probably fascinate Nina soon.
subject_pg_full,9,minusF_minusG1_plusG2,soon,20.67999179,The report suggested that the painting of the professor will probably fascinate soon.
subject_pg_full,9,minusF_plusG1_minusG2,Nina,28.34532196,The report suggested that the painting of will probably fascinate Nina soon.
subject_pg_full,9,minusF_plusG1_plusG2,soon,20.96950894,The report suggested that the painting of will probably fascinate soon.
subject_pg_full,9,plusF_minusG1_minusG2,Nina,29.40503196,The report suggested who the painting of the professor will probably fascinate Nina soon.
subject_pg_full,9,plusF_minusG1_plusG2,soon,16.86771775,The report suggested who the painting of the professor will probably fascinate soon.
subject_pg_full,9,plusF_plusG1_minusG2,Nina,27.71977516,The report suggested who the painting of will probably fascinate Nina soon.
subject_pg_full,9,plusF_plusG1_plusG2,soon,18.05487255,The report suggested who the painting of will probably fascinate soon.
