sentence_type,item_id,condition,full_sentence
subject_pg_full,7,plusF_plusG1_plusG2,She heard who the rumor about is going to please soon.
subject_pg_full,7,plusF_plusG1_minusG2,She heard who the rumor about is going to please Tom soon.
subject_pg_full,7,plusF_minusG1_plusG2,She heard who the rumor about the director is going to please soon.
subject_pg_full,7,plusF_minusG1_minusG2,She heard who the rumor about the director is going to please Tom soon.
subject_pg_full,7,minusF_plusG1_plusG2,She heard that the rumor about is going to please soon.
subject_pg_full,7,minusF_plusG1_minusG2,She heard that the rumor about is going to please Tom soon.
subject_pg_full,7,minusF_minusG1_plusG2,She heard that the rumor about the director is going to please soon.
subject_pg_full,7,minusF_minusG1_minusG2,She heard that the rumor about the director is going to please Tom soon.
subject_pg_full,8,plusF_plusG1_plusG2,They believe who the discussion about is expected to concern eventually.
subject_pg_full,8,plusF_plusG1_minusG2,They believe who the discussion about is expected to concern Paul eventually.
subject_pg_full,8,plusF_minusG1_plusG2,They believe who the discussion about the critic is expected to concern eventually.
subject_pg_full,8,plusF_minusG1_minusG2,They believe who the discussion about the critic is expected to concern Paul eventually.
subject_pg_full,8,minusF_plusG1_plusG2,They believe that the discussion about is expected to concern eventually.
subject_pg_full,8,minusF_plusG1_minusG2,They believe that the discussion about is expected to concern Paul eventually.
subject_pg_full,8,minusF_minusG1_plusG2,They believe that the discussion about the critic is expected to concern eventually.
subject_pg_full,8,minusF_minusG1_minusG2,They believe that the discussion about the critic is expected to concern Paul eventually.
subject_pg_full,9,plusF_plusG1_plusG2,The report suggested who the painting of will probably fascinate soon.
subject_pg_full,9,plusF_plusG1_minusG2,The report suggested who the painting of will probably fascinate Nina soon.
subject_pg_full,9,plusF_minusG1_plusG2,The report suggested who the painting of the professor will probably fascinate soon.
subject_pg_full,9,plusF_minusG1_minusG2,The report suggested who the painting of the professor will probably fascinate Nina soon.
subject_pg_full,9,minusF_plusG1_plusG2,The report suggested that the painting of will probably fascinate soon.
subject_pg_full,9,minusF_plusG1_minusG2,The report suggested that the painting of will probably fascinate Nina soon.
subject_pg_full,9,minusF_minusG1_plusG2,The report suggested that the painting of the professor will probably fascinate soon.
subject_pg_full,9,minusF_minusG1_minusG2,The report suggested that the painting of the professor will probably fascinate Nina soon.
subject_pg_full,10,plusF_plusG1_plusG2,It is clear who the description of might disturb eventually.
subject_pg_full,10,plusF_plusG1_minusG2,It is clear who the description of might disturb Ben eventually.
subject_pg_full,10,plusF_minusG1_plusG2,It is clear who the description of the consultant might disturb eventually.
subject_pg_full,10,plusF_minusG1_minusG2,It is clear who the description of the consultant might disturb Ben eventually.
subject_pg_full,10,minusF_plusG1_plusG2,It is clear that the description of might disturb eventually.
subject_pg_full,10,minusF_plusG1_minusG2,It is clear that the description of might disturb Ben eventually.
subject_pg_full,10,minusF_minusG1_plusG2,It is clear that the description of the consultant might disturb eventually.
subject_pg_full,10,minusF_minusG1_minusG2,It is clear that the description of the consultant might disturb Ben eventually.
